Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@64d20c75 | Date: 01/07/2023 17:14:24
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:17:41
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:17:45
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@178f90f7 | Response: null | Date: 01/07/2023 17:18:01
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@62c187b0 | Date: 01/07/2023 17:18:01
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@3bc2841a | Response: null | Date: 01/07/2023 17:18:08
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@108142b0 | Date: 01/07/2023 17:18:08
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@69a5404f | Response: null | Date: 01/07/2023 17:18:08
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@732b1b09 | Date: 01/07/2023 17:18:08
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@65cd801e | Response: null | Date: 01/07/2023 17:18:17
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@64d20c75 | Date: 01/07/2023 17:18:17
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:21:18
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:21:22
Command: Client N2left | Request: null | Response: null | Date: 01/07/2023 17:21:38
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@5d0072a2 | Response: null | Date: 01/07/2023 17:22:01
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@1beb9e09 | Date: 01/07/2023 17:22:01
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@6bee77f9 | Response: null | Date: 01/07/2023 17:22:01
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@274d6a04 | Date: 01/07/2023 17:22:01
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@420473a9 | Response: null | Date: 01/07/2023 17:22:07
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@5be14164 | Date: 01/07/2023 17:22:07
Command: Client N3left | Request: null | Response: null | Date: 01/07/2023 17:28:43
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:29:04
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:31:26
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@408899a2 | Response: null | Date: 01/07/2023 17:31:52
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@30dbfa6b | Date: 01/07/2023 17:31:52
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@11740829 | Response: null | Date: 01/07/2023 17:31:59
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@7154132e | Date: 01/07/2023 17:31:59
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@7ba7b46 | Response: null | Date: 01/07/2023 17:31:59
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@56a6d5fc | Date: 01/07/2023 17:31:59
Command: Server started | Request: null | Response: null | Date: 01/07/2023 17:32:55
Command: Client N1left | Request: null | Response: null | Date: 01/07/2023 17:33:00
Command: Request | Request: com.example.finalproject.Models.RequestAndResponse.Request@178f90f7 | Response: null | Date: 01/07/2023 17:33:10
Command: Response | Request: null | Response: com.example.finalproject.Models.RequestAndResponse.Response@62c187b0 | Date: 01/07/2023 17:33:10
